,R_scalings,Nodes per layer,seed,sigmas,Resized,Test time,rhos,_step,_timestamp,Initial transient,_wandb,_runtime,Train time,Train length,densities,Total time,Test length,Total nodes,Error,sgmds,Layers,alphas
10,1.2277205882660485,2000,2753,0.8402180529709206,14,7.309621856,0.6912588902317608,1,1696849949.508029,0,{'runtime': 97},98.72418594360352,87.61652258,60000,0.11972579763490054,94.926183299,10000,2000,0.0325,['<PyCall.jlwrap tanh>'],1,1
11,"[0.5125461692074139, 0.7368956637943296]","[2000, 2196]",7648,"[1.4289226924523457, 1.1784260724951825]",14,13.523240579,"[1.2703221046922035, 1.0563462584646146]",1,1696849834.1288888,0,{'runtime': 151},152.8562729358673,133.695644211,60000,"[0.07565580047516729, 0.04535422089903069]",147.21892234,10000,4196,0.0365,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",2,"[1, 1]"
12,"[1.256809214414235, 1.4521572965285268, 1.332295127487272]","[2000, 2196, 2392]",5538,"[1.3765274704505632, 0.6299853913327796, 0.939163164012656]",14,21.856474033,"[1.4910909287554777, 1.3069564875377502, 1.097483412025554]",1,1696849664.6988044,0,{'runtime': 221},223.2437834739685,192.850795349,60000,"[0.1948533993120458, 0.13070152314778655, 0.01674089195950486]",214.707312593,10000,6588,0.0363,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",3,"[1, 1, 1]"
13,"[1.420058644296184, 1.2944509474961274, 1.130297226597092, 1.367928056357766]","[2000, 2196, 2392, 2588]",4992,"[1.208601348076575, 1.4690977457035177, 0.769059099127546, 1.0909642095718315]",14,34.935536306,"[0.8562911534756787, 1.320913840808677, 0.861905945021619, 1.2573831758562375]",1,1696849433.5739162,0,{'runtime': 318},320.0637652873993,272.960225651,60000,"[0.16666576488921928, 0.03255265758997641, 0.19733703047138, 0.17954300017952507]",307.895831006,10000,9176,0.0371,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",4,"[1, 1, 1, 1]"
14,"[0.7992722021575135, 0.5303370862081683, 1.0846635030315608, 0.8491951237054239, 0.8920564730386956]","[2000, 2196, 2392, 2588, 2784]",4488,"[0.5030656429680306, 0.6453449282515361, 1.148797621642442, 1.2673718770024145, 1.408306444072247]",14,45.264645357,"[1.4052455477774255, 1.018569793017969, 1.4992995695736475, 0.696367875450757, 0.9877527165531594]",1,1696849101.127232,0,{'runtime': 413},414.9962980747223,352.703801667,60000,"[0.04970015042534765, 0.12013102918990164, 0.12509023963580088, 0.18340787274337544, 0.04289039517005117]",397.968493902,10000,11960,0.0335,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",5,"[1, 1, 1, 1, 1]"
15,"[1.2614740333211296, 0.5222976097496608, 1.4343723798410108, 0.8227234928493081, 1.3171710840468136, 0.983647540000808]","[2000, 2196, 2392, 2588, 2784, 2980]",5740,"[0.5422535228709926, 0.8072125747944853, 0.6332717364842759, 1.316377284174815, 0.5102451254415307, 0.9551311533812752]",14,55.021328485,"[0.6608583753144481, 1.2826108016985796, 0.7002437721333077, 0.630416094505791, 0.8916108123483298, 1.0850561599307451]",1,1696848672.408006,0,{'runtime': 506},509.5159230232239,429.950847095,60000,"[0.0790967934705312, 0.0558866876690381, 0.06746484859311573, 0.09780321197393244, 0.15158497814973218, 0.08070342790764606]",484.972217779,10000,14940,0.0335,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",6,"[1, 1, 1, 1, 1, 1]"
16,"[0.9805210518962104, 1.2415302977737197, 0.6073899420313019, 0.6331651301432508, 1.1711794624008507, 0.917351966014185, 1.028217311311793]","[2000, 2196, 2392, 2588, 2784, 2980, 3176]",1160,"[0.5733137987478429, 1.0309426139416369, 1.3814332533380655, 1.3875410364676233, 1.4442512452647054, 0.9292180005907834, 0.8238308589194221]",14,65.215571359,"[1.3716333098473137, 0.5994795891415747, 0.8492014104005849, 1.498368027632236, 0.8362049799350204, 0.6452634638938972, 0.9907576624650244]",1,1696848141.39457,0,{'runtime': 603},604.8450479507446,508.527429619,60000,"[0.18187023277432304, 0.12805683176730362, 0.12956015238787, 0.19257852791782423, 0.12602998826994782, 0.011463269342225382, 0.03572138918327417]",573.743072332,10000,18116,0.0366,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",7,"[1, 1, 1, 1, 1, 1, 1]"
17,"[1.2698411809065244, 1.4761891641634457, 0.9087121312900256, 0.7378621659433522, 0.6515949126652036, 1.2942658759830192, 0.6953064829226216, 1.4032287350652664]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372]",8413,"[0.898583103689293, 1.2970077274556848, 0.6188127384292902, 1.2769828296529293, 1.30608674646083, 1.1978835007194566, 0.8842329974895522, 1.0522679495052396]",14,75.959950783,"[0.5027623950694987, 0.8892465484950645, 0.8594944845800411, 0.8881497349980841, 1.1945625335035233, 1.0670091224246352, 1.4488728824953134, 0.739795996167379]",1,1696847524.8778377,0,{'runtime': 708},709.7890815734863,593.722003163,60000,"[0.017532126185594864, 0.1539967716867015, 0.09240388750927492, 0.026762228421600663, 0.18765178918606112, 0.06471513677966645, 0.15896202828040992, 0.19509868468927632]",669.681992588,10000,21488,0.0379,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",8,"[1, 1, 1, 1, 1, 1, 1, 1]"
18,"[0.7049382121594596, 0.859071275203299, 1.4821551169052385, 1.0284130817226067, 1.262021989307558, 0.6331260261859375, 1.3377112043722752, 0.5162457479901432, 1.4186561466717298]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568]",1979,"[0.7736871734114603, 0.747071649354633, 1.0976899580281358, 1.308177845969258, 1.3572144048927122, 0.6215157766856151, 0.7607879121998556, 1.1118531695566545, 0.7846125733387584]",14,88.365299156,"[0.6205036660876299, 0.9636168415897044, 1.4395204625227822, 1.180259232441596, 0.909828375466448, 0.6066380477026145, 1.331802055887767, 1.053532729096055, 1.2489640422297823]",1,1696846803.8649392,0,{'runtime': 822},824.2231740951538,684.494187139,60000,"[0.11827726906024127, 0.07002727471107476, 0.11298647439035114, 0.03677884120393657, 0.09353489146878571, 0.16711270728175132, 0.1461019338540634, 0.1612860483711551, 0.03021150369707873]",772.859563749,10000,25056,0.0382,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,"[0.5985218428391763, 0.964149344801462, 0.7825923845383969, 1.0866357854290456, 0.8007580660833155, 0.6165711449343645, 0.5326634688736157, 0.84940071968689, 0.8198086207123967, 1.3362637935417827]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568, 3764]",3554,"[1.4652519217721431, 1.4965229124692947, 1.025937415431291, 1.3308060080591295, 1.2300719104248632, 1.4674622963839326, 1.318517844305921, 0.8203657076208163, 1.2714332360638738, 0.5540025433087298]",14,101.023072461,"[0.6352023139603911, 0.8411546053328094, 0.5177605579689294, 0.6218636753931285, 1.304234231164763, 0.6973007266602597, 0.7313277241488964, 0.8065562458047371, 0.9031683575942177, 1.3638832963976464]",1,1696845966.600421,0,{'runtime': 945},945.7563178539276,783.203943383,60000,"[0.13934170365681844, 0.014047793609089868, 0.025009805355697967, 0.08892637131044527, 0.09130125014334832, 0.08070128520215657, 0.052474582912557834, 0.0744003742083582, 0.051493305852626466, 0.15704470248897148]",884.227057893,10000,28820,0.0391,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
