,Layers,alphas,sigmas,densities,Total nodes,Train length,rhos,seed,Nodes per layer,Initial transient,R_scalings,Train time,Error,_runtime,_wandb,Total time,_step,sgmds,_timestamp,Test length,Resized,Test time
10,1,1,0.7465877687104446,0.1137022671606,2000,60000,1.445028232234553,7609,2000,0,0.5099487680061838,88.914304906,0.0328,100.58446478843688,{'runtime': 99},96.635888978,1,['<PyCall.jlwrap tanh>'],1696880332.0350497,10000,14,7.721513298
11,2,"[1, 1]","[0.7122388125229974, 1.1244927472192894]","[0.13845198767856892, 0.15878073390224332]",4000,60000,"[1.0501415160832128, 1.0629239215321546]",7205,"[2000, 2000]",0,"[1.285847647909334, 0.612489827850715]",115.35593705,0.0448,134.3323929309845,{'runtime': 133},127.683119615,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696880226.871488,10000,14,12.327104508
12,3,"[1, 1, 1]","[1.2408860303545874, 0.5517953555986601, 0.7547874831586955]","[0.06069579894640383, 0.1696926606188203, 0.01659039455761206]",6000,60000,"[1.27364035722173, 1.0031111732438491, 1.4557358833141711]",3949,"[2000, 2000, 2000]",0,"[0.8318670339492963, 1.2718870120332284, 0.6327743825681357]",143.399219986,0.0623,170.1634955406189,{'runtime': 168},160.61187222,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696880088.1023176,10000,14,17.212574757
13,4,"[1, 1, 1, 1]","[1.39533998633124, 0.6057041783911068, 0.5554091672951578, 1.469236464359965]","[0.09176517371344552, 0.08086480120517454, 0.1867513020598519, 0.13152054811822125]",8000,60000,"[0.9914085812932866, 0.926922604163655, 0.9469372102771908, 1.3167819218999908]",5106,"[2000, 2000, 2000, 2000]",0,"[0.7958706062815036, 1.153319669927539, 0.9481309349107954, 0.781696757508475]",172.970298465,0.0837,208.00033950805664,{'runtime': 206},195.305326649,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879912.6894076,10000,14,22.334982718
14,5,"[1, 1, 1, 1, 1]","[1.428695538750996, 0.6601129890651541, 1.4482771904071283, 0.6743304799464395, 1.0301537372229248]","[0.08943572277785115, 0.06362068160158697, 0.16040051650123271, 0.07491654908949878, 0.13210858730054467]",10000,60000,"[0.6682218594293124, 1.4047886769198044, 0.8021165728716588, 0.7476543664435634, 0.9051009488989736]",1019,"[2000, 2000, 2000, 2000, 2000]",0,"[1.2181467421757708, 0.5634769737639002, 1.3557822380911533, 0.8084620702456013, 0.866244337200973]",204.439525901,0.0948,247.17643928527832,{'runtime': 246},232.905795717,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879700.2053552,10000,14,28.466194853
15,6,"[1, 1, 1, 1, 1, 1]","[1.0381808601435, 0.6824714677688222, 0.8978594845125518, 1.152148951498832, 0.8778017439744251, 0.5705292373595576]","[0.17111668531499458, 0.14264506811820152, 0.05324994208423231, 0.05642117454965001, 0.015257202340721586, 0.18380799164330305]",12000,60000,"[1.355633827701842, 0.6618314689435099, 1.1762789258597957, 1.4533228720574105, 1.0870514795061448, 1.4904641916092949]",9316,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8062537196537731, 1.1867900684425892, 0.7992328547512246, 0.7294438888129954, 0.7578554539673471, 1.1309700056240728]",241.391967556,0.1117,293.41084265708923,{'runtime': 292},276.896387434,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879448.7171266,10000,14,35.504375163
16,7,"[1, 1, 1, 1, 1, 1, 1]","[1.066683404535332, 1.2104208695263243, 1.3397926672982847, 1.1681926758897636, 1.2011126978776303, 0.6817286836371106, 0.690550196112928]","[0.17367448720975634, 0.11364494206158454, 0.08381247724261012, 0.12379345777364537, 0.07931548421953294, 0.01374003503144565, 0.10465709900828685]",14000,60000,"[0.5843168511843311, 0.6076070748924266, 1.4193463283837042, 0.8678354519386958, 0.6865964504462284, 1.2144247380763833, 1.3724395640202762]",5726,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.1925746049362158, 0.931292363677582, 0.8069531345784, 1.426218222678456, 0.6849793014391407, 1.3026131750882026, 0.5100923087835607]",280.62031375,0.1208,339.5986216068268,{'runtime': 338},322.821255725,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879150.9509475,10000,14,42.200898744
17,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[1.100289477004721, 0.8851364450806938, 1.152367265084277, 0.7980278900340836, 1.0980897537891776, 0.6330393184467256, 0.6021374626821312, 0.8260830314638727]","[0.01829413912409558, 0.15668426594970936, 0.11886893152372646, 0.18917342301810905, 0.05091266751978502, 0.06515133447884452, 0.17777716782620784, 0.04294451794796904]",16000,60000,"[0.7189868299200227, 1.1128507869494326, 0.9556358654696712, 1.110557176045697, 0.6017559562016729, 0.5377917107158517, 0.7454713547626217, 0.7186135121744394]",3319,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2936471497773043, 0.7952158649984589, 1.1681026699455912, 1.168555341450964, 0.5188775749090206, 1.1319473139597136, 1.027125015045444, 0.8062032727734993]",314.751249868,0.1212,380.12483739852905,{'runtime': 378},361.027498756,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696878806.5830925,10000,14,46.276206498
18,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6061010077049531, 0.759784282339651, 0.8129065962984621, 1.1509283367294003, 1.329311601671549, 1.4863914955148858, 0.9499189183320448, 0.710864213612198, 1.022919281085469]","[0.042395282893359046, 0.034481396285142164, 0.06233385922756811, 0.0919419469208244, 0.1974773760629513, 0.19771496641782885, 0.13209714985534432, 0.0481149682114137, 0.19557043223327128]",18000,60000,"[1.450286369451267, 1.0531809293937189, 1.2470376133305676, 1.407419626291302, 0.7683737350980833, 1.0143289108124498, 1.494138707979546, 1.30210184319158, 1.1106571655209243]",7119,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6288478816723152, 1.3223164323302825, 0.8235999189703931, 1.0018570098334327, 0.8670914802908471, 0.8297345864390112, 1.1116042114361393, 0.6532036268786585, 0.9537496707991304]",350.22723345,0.1278,423.0867614746094,{'runtime': 421},402.162928471,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696878421.6328094,10000,14,51.935648433
19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.7983501027099617, 1.411767100818888, 0.9580704812673064, 0.6405097605357174, 1.01777338297459, 1.206450335816113, 1.2820699949569612, 0.6779504150693912, 1.355683718198098, 1.348491500729493]","[0.1659572116986801, 0.06879473957918301, 0.144635043389514, 0.03749457824352562, 0.08919844500563016, 0.145174562895401, 0.026992403984570507, 0.03716410592236507, 0.048052593834500154, 0.024853465809051328]",20000,60000,"[0.5244195507997279, 1.0769665976243457, 1.190676375953935, 0.9649043585378472, 1.4346421165964949, 0.7790347333698296, 0.6036110145692357, 0.949756909189306, 1.4860736150516194, 1.3375014465878046]",1412,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.9544989645805804, 1.3544875242932013, 0.7301612729782275, 1.2189290762698848, 1.079789171372561, 1.2057924050558158, 1.4870024583486543, 0.7666253796624547, 0.7946924376175043, 0.8592673705473645]",375.374783148,0.1335,453.6433789730072,{'runtime': 452},431.367459649,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696877992.644061,10000,14,55.992632067
