,Layers,alphas,sigmas,densities,Total nodes,Train length,rhos,seed,Nodes per layer,Initial transient,R_scalings,Train time,Error,_runtime,_wandb,Total time,_step,sgmds,_timestamp,Test length,Resized,Test time
33,4,"[1, 1, 1, 1]","[0.8904563226273227, 0.649117142609939, 0.97873785822492, 1.1420576771342632]","[0.0381932039617903, 0.09070953355619904, 0.09511026903997832, 0.15368015858057063]",8000,60000,"[1.084906314070174, 0.698291621410278, 1.0145547957630507, 0.6614915303546641]",444,"[2000, 2000, 2000, 2000]",0,"[1.0728338169422826, 1.2927518895138623, 1.418194934952211, 0.8525250251706735]",173.619706028,0.0792,204.9555058479309,{'runtime': 203},196.140007033,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696872029.2106638,10000,14,22.5202027
34,5,"[1, 1, 1, 1, 1]","[1.0704365821564157, 0.9260961869347468, 0.6147735887799716, 0.5082772133162702, 1.3564606642252677]","[0.1829209026139017, 0.06610197243401097, 0.06357620529055225, 0.02908094325619273, 0.08845446950328206]",10000,60000,"[1.034022215398565, 1.1333981781180458, 0.5966047875818484, 0.8663427926305103, 0.8707897059144883]",8797,"[2000, 2000, 2000, 2000, 2000]",0,"[0.8917270930312193, 0.7204387648963405, 1.0045831304040136, 1.4201830413605534, 0.5470344392601489]",206.369040802,0.0922,246.6418981552124,{'runtime': 245},235.931088823,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696871820.1254702,10000,14,29.562007134
35,6,"[1, 1, 1, 1, 1, 1]","[1.2904078076731202, 1.465260980864894, 1.314249351356334, 0.6171694260432465, 1.1003182099475095, 1.450875753001749]","[0.04898127281261863, 0.08798276299128688, 0.08601459401983538, 0.13675203587979343, 0.07253405259880906, 0.1850848889846781]",12000,60000,"[0.8253894413939559, 1.4550728989145036, 0.9297335542987808, 0.7386819187964324, 1.4132098790899452, 1.4235936965708504]",9393,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.270102460631677, 1.2429831494309012, 1.1899145786678955, 1.0106320943047884, 0.8187001119158662, 0.7133340298720451]",238.832114205,0.1062,287.7384738922119,{'runtime': 286},274.942431811,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696871569.1119778,10000,14,36.110278722
36,7,"[1, 1, 1, 1, 1, 1, 1]","[0.608113188516227, 1.3845588838852017, 1.389795620331754, 1.2163117646520685, 0.612201047753046, 1.2068982964776835, 0.6756501113676198]","[0.1317826983971333, 0.013761054532526611, 0.10854364840199504, 0.1636820866818827, 0.1811062638675738, 0.07394348138742256, 0.10206060864039526]",14000,60000,"[0.5336133567019715, 0.6273503671622525, 0.8435775178592234, 1.3016694349762463, 0.8871055580639128, 0.9724615165372856, 0.7467429962912091]",2023,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6321419481484759, 0.8717902070174713, 1.4005132318421794, 1.1067247007204597, 0.9524368188495862, 1.4602296957428549, 1.1372112906054554]",278.586115783,0.1156,335.2293107509613,{'runtime': 334},320.557295525,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696871276.9280827,10000,14,41.971107476
37,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[0.8697979476853219, 0.9814142949035444, 1.3990417120104124, 0.5184473539259095, 1.3817791785152789, 1.4227510831437875, 0.7922164401451693, 1.36305516215153]","[0.0507101431833015, 0.02095614664014633, 0.05310394713505044, 0.17747075318846595, 0.17112072786199145, 0.030342221502616437, 0.06152045845490283, 0.1875722572177388]",16000,60000,"[1.4165664986464126, 0.8114469247100768, 0.6542065137708634, 1.42123928310577, 1.3681702886636615, 1.471408457105647, 1.1451566169859375, 1.4081272610220734]",8054,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8431172696392658, 0.6596844044218294, 1.3612709620757983, 1.2681620875142254, 1.441246792521305, 1.1906055338548382, 0.9490650171725212, 1.1935309182393872]",316.860652327,0.1235,380.6107819080353,{'runtime': 379},363.967938011,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696870937.110195,10000,14,47.10719427
38,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6321320691556448, 1.4963005051829756, 0.7370771011173641, 1.4405320311525152, 0.6221911233040862, 0.6349684749151884, 0.8790177474004125, 0.9531512063766336, 1.2971000670128894]","[0.1831800291925849, 0.03072195250732651, 0.12816574901261368, 0.017095084056004645, 0.026378685544284033, 0.059981868813989266, 0.08993516762217134, 0.013993677288013885, 0.02346529350391644]",18000,60000,"[0.513222885628807, 1.2200618796261298, 0.7035401356395707, 0.6572277938346172, 0.6011128571510432, 1.2484865041486928, 0.8891895904058345, 0.7578272093809116, 0.6839101400139018]",2107,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.7728264142699214, 0.8730265890080402, 0.7607726125460604, 1.0543081298470187, 1.364906705311058, 1.133707375530201, 1.1183010746285869, 0.6769368352938547, 1.4175924418382575]",350.112872255,0.1257,419.8877601623535,{'runtime': 418},401.51113316,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696870551.056477,10000,14,51.398219937
39,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.7769170332332398, 0.6417697851812114, 1.2663682182569038, 0.9328002696365484, 0.9777584281891536, 1.283370293322163, 0.8194163522210627, 1.0938137243568449, 1.1722257906889155, 1.2866499053210123]","[0.019284756881564877, 0.1298589056703979, 0.025539214963798147, 0.16397578552069078, 0.06290513327354741, 0.1653784223538419, 0.12997855030427424, 0.06317222948092718, 0.11454143265401692, 0.11698476137174656]",20000,60000,"[1.3962491414545817, 0.7774920187874155, 1.424941668641962, 0.7765380421844773, 1.170725803194882, 1.220848811040437, 0.8830257986703723, 0.5880339793343868, 1.4038625785557142, 0.7626330568738587]",6855,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.1104847443231842, 0.7235601399084236, 0.5340329599579897, 1.273140322763462, 0.9193444428645322, 1.2900165750348105, 0.9694555633501292, 0.5502798114028444, 1.2533730905072171, 1.097258338513554]",375.304894892,0.136,452.1445450782776,{'runtime': 450},431.607428368,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696870126.446979,10000,14,56.302438596
40,1,1,1.1688239915488663,0.055344337736924376,2000,60000,0.7289200371273975,6047,2000,0,0.649828709577966,87.897639595,0.0349,98.45946025848389,{'runtime': 97},95.321956869,1,['<PyCall.jlwrap tanh>'],1696869670.1575773,10000,14,7.424279603
41,2,"[1, 1]","[0.895524607206962, 0.5611333712526111]","[0.19530299871018425, 0.0978899117189713]",4000,60000,"[0.5794063161432998, 1.377447964660811]",5651,"[2000, 2000]",0,"[1.0638200923335348, 1.3411957982898597]",115.21223005,0.0439,132.29849123954773,{'runtime': 131},127.270962471,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696869567.1868052,10000,14,12.058661567
42,3,"[1, 1, 1]","[1.44884804312378, 1.4004159389440365, 1.3461603975753382]","[0.11367995247499954, 0.101380152152459, 0.1307409886918585]",6000,60000,"[1.0725352784959408, 1.0901125138022127, 1.2775118682717237]",8776,"[2000, 2000, 2000]",0,"[1.1719901447572385, 0.7636345479201256, 0.9996747869013956]",142.28303723,0.0649,166.27127194404602,{'runtime': 165},159.404908354,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696869430.406549,10000,14,17.121799078
43,4,"[1, 1, 1, 1]","[0.9636614785016666, 0.8328029908423005, 0.7762806385778862, 0.7721995582998747]","[0.011773409472016064, 0.17296566903849922, 0.013272947119000327, 0.19443826834390213]",8000,60000,"[0.6942835938835025, 0.8058498450125439, 0.8004753742132544, 0.5526519070776874]",6810,"[2000, 2000, 2000, 2000]",0,"[0.9648042838745208, 1.0364109682420142, 1.205225798668412, 0.8975782440506774]",171.441808261,0.0743,202.99345445632937,{'runtime': 201},193.945824859,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696869259.2598364,10000,14,22.50394366
44,5,"[1, 1, 1, 1, 1]","[0.5712943315722662, 1.05787220026789, 1.114035026672865, 0.9225883101193084, 0.7440873393593778]","[0.11596662314484492, 0.1626611116738075, 0.1854434790337069, 0.17245365381405667, 0.1720921172855638]",10000,60000,"[0.6926620468901322, 0.814783472665924, 0.906225316416616, 0.5709826683596058, 0.569113977349159]",8139,"[2000, 2000, 2000, 2000, 2000]",0,"[1.186403122079609, 0.5568253828378277, 0.7663071329983343, 1.454946552801376, 0.6835350707771232]",204.496057365,0.0934,245.07240176200867,{'runtime': 243},234.334506035,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696869050.8010328,10000,14,29.838408253
45,6,"[1, 1, 1, 1, 1, 1]","[1.4527273125370648, 0.8195546462880384, 0.6005363202522314, 0.60978064101474, 0.8181628075912473, 1.449610957461844]","[0.039662251491408645, 0.04734437784012835, 0.12074893257044578, 0.1349374778871694, 0.02400127219974524, 0.05787626024317175]",12000,60000,"[1.0500853009811275, 1.2659725150208976, 1.0459341606057313, 0.7519319183809163, 0.9294875275174582, 1.4218565670451542]",2251,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8304278856744732, 0.5541344311204294, 1.1430656042743756, 0.611783817770538, 0.5581215470773658, 0.5369846815574453]",279.534717347,0.1065,348.23485255241394,{'runtime': 346},315.069694729,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696868800.9694436,10000,14,35.534916584
46,7,"[1, 1, 1, 1, 1, 1, 1]","[0.6040250834431222, 1.1932571371571292, 1.1064079894645251, 1.4560166495874078, 0.5703029864245429, 0.9125554467511966, 0.6957410368018346]","[0.07545513817764667, 0.07841030719240065, 0.07730851648200095, 0.0966106518390574, 0.14399263444262375, 0.19007840013926597, 0.1949529868880389]",14000,60000,"[1.0153857913453643, 1.3131578873875769, 1.3862505115902493, 0.8132287352031915, 0.8198135977539014, 0.7054595276977453, 0.8642396696416325]",584,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6191961646351846, 1.0694698013245754, 1.3297531212386122, 1.198860661196698, 0.7193098235077877, 1.234275727156036, 1.2849348419896738]",316.214340706,0.113,401.309063911438,{'runtime': 400},365.529282424,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696868447.9562068,10000,14,49.314845914
47,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[0.914394680545005, 0.5730398656063489, 1.3073540528381455, 0.5936769353735716, 1.3206779035452954, 1.3712233122053503, 1.013247112973123, 0.7583196501904588]","[0.10907641250797193, 0.12691886575544936, 0.10822011634449046, 0.17929039965580731, 0.054815057533446454, 0.1947624173875099, 0.061260387730732925, 0.1663534421967277]",16000,60000,"[0.584479971227792, 0.5468570610319077, 0.6350373948501866, 0.6074657654992203, 0.7902585497137656, 1.024106502096588, 0.5029233587319071, 0.7431398947970127]",6382,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.4101601619457045, 0.815769677202045, 1.4716627859862692, 0.6050834096607628, 0.6916238495711294, 1.4685402870924258, 0.9363853720614792, 0.826850688460142]",356.747701969,0.124,456.0872802734375,{'runtime': 454},410.518089729,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696868041.0662603,10000,14,53.770310005
48,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6818353820264095, 1.4381174225052504, 1.111981707956955, 1.3790639512241212, 0.8903196789938179, 0.7921656069584899, 1.4795625369448546, 0.5298074300944117, 0.6368339718772941]","[0.08343320472255585, 0.1524627838702101, 0.05128826240461286, 0.17546525042826577, 0.07151350795923357, 0.09423967189874452, 0.17411430656254828, 0.10728571517810628, 0.11991166037422524]",18000,60000,"[0.8433654659572778, 1.3266476342575753, 1.4334945793131388, 1.3905242052710332, 0.7266343852851118, 0.894717218414872, 0.5542260252199045, 0.9149925715016872, 1.4966827604821196]",680,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5028909860314562, 0.7851891209282563, 1.2439922183459096, 0.8054120974736634, 1.2538449879675526, 0.6919749804729969, 0.9392035845745224, 1.0673975271480676, 0.7749360748446187]",384.711993472,0.1313,481.4679934978485,{'runtime': 480},443.692847727,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696867579.8243675,10000,14,58.980780849
49,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6153914313020429, 1.4002919819703696, 1.0094405803481474, 1.408351660633747, 1.1176054778016755, 1.2265039518300218, 1.4844498921082758, 0.6695472282579222, 0.7245318873461483, 1.1194499895568712]","[0.08868019752009153, 0.17041521788821842, 0.11876097004565073, 0.030249806710786628, 0.10975079068899722, 0.07687739037964751, 0.13095401984235042, 0.11742463013989926, 0.01090365231869582, 0.02753313948677936]",20000,60000,"[0.890115235978483, 1.3978750439236056, 0.7831002810511298, 0.8101079170397973, 0.5902212971784107, 1.3569356670393549, 0.8523706450830304, 0.7981359947245924, 0.8870100620720826, 1.1322931420473896]",6607,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8989372971528791, 1.0511107269135005, 1.0255074524585754, 1.203459009069013, 0.9298041516539658, 1.4429975302637406, 0.9033775686763138, 1.234749346557137, 1.2776571444029663, 0.5439413086882372]",417.404303691,0.1302,521.3919835090637,{'runtime': 520},480.647558405,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696867093.8009684,10000,14,63.20558898
50,1,1,1.4729900792219466,0.1546535935949999,2000,60000,1.4182511386218728,9805,2000,0,0.6410991796581399,87.983956336,0.036,99.33400559425354,{'runtime': 98},95.592935696,1,['<PyCall.jlwrap tanh>'],1696493362.6129496,10000,14,7.608903729
51,2,"[1, 1]","[1.1047391855945237, 1.4325529796690315]","[0.12402589810732932, 0.0482254424981561]",4000,60000,"[0.614980311235497, 1.132745334031929]",9627,"[2000, 2000]",0,"[0.9629756539010964, 0.8902662404227195]",114.994244465,0.0509,133.37286019325256,{'runtime': 132},127.323223489,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696493250.7952402,10000,14,12.328935181
52,3,"[1, 1, 1]","[0.6777141145786327, 0.9554759768507428, 1.0561798300794467]","[0.1788650596057986, 0.16154604214084234, 0.17132529058584348]",6000,60000,"[0.7321100024710484, 0.5820525199542003, 1.314035174241384]",7311,"[2000, 2000, 2000]",0,"[0.8606598094612352, 1.0945863121001889, 1.4572033080117124]",142.551925339,0.0607,168.07026386260986,{'runtime': 166},159.354025247,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696493106.428134,10000,14,16.802043653
53,4,"[1, 1, 1, 1]","[0.8393363547788021, 0.6772189780458278, 1.1846451638506077, 1.2169903980796706]","[0.16778553040370245, 0.06032705126443692, 0.027269672081743065, 0.05468009622253288]",8000,60000,"[1.0038415095659354, 0.8834077058514136, 0.5498717995224257, 1.1240012033594702]",6674,"[2000, 2000, 2000, 2000]",0,"[0.5453021941638002, 0.5460526938133258, 0.55016035609945, 1.299372619974375]",171.001818501,0.0802,205.94207096099856,{'runtime': 204},192.899921421,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696492924.6548018,10000,14,21.898028
54,5,"[1, 1, 1, 1, 1]","[1.3175644719325228, 1.3549179198191768, 0.9640423584436052, 1.4618352576540132, 0.5571037327841059]","[0.016098386211561143, 0.069097061848512, 0.1860322329297155, 0.03480084323179918, 0.029798575241361404]",10000,60000,"[1.347503117159866, 0.834517964368651, 1.2122904037203686, 0.6873845125760415, 1.245639923318164]",631,"[2000, 2000, 2000, 2000, 2000]",0,"[1.47671671813294, 0.6825649077307325, 1.2586387100201848, 0.9733461168680864, 1.078116630288533]",202.802386708,0.0961,246.2159230709076,{'runtime': 241},230.193331934,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696492707.969592,10000,14,27.390895202
55,6,"[1, 1, 1, 1, 1, 1]","[1.4604951244296402, 0.6797717725612791, 1.382062929885413, 1.43513679812162, 0.6294119253001202, 1.0271373275238234]","[0.08150741048508932, 0.1276351143740879, 0.058529056380121215, 0.0601296504381073, 0.19777657438291552, 0.14576446421443567]",12000,60000,"[0.601345920444616, 1.1079608667895635, 1.0939568085749307, 0.7070302824271434, 0.6634951660740026, 0.7994834096298741]",5988,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2236821630495904, 1.0826414500098815, 0.6883979977031689, 1.066512637279429, 0.8276627249870833, 1.0166183524094978]",233.065774929,0.1074,285.549364566803,{'runtime': 283},268.335122243,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696492450.4305365,10000,14,35.269304814
56,7,"[1, 1, 1, 1, 1, 1, 1]","[1.218258732662055, 1.382614225670214, 0.6268755837846, 0.7044425134185777, 1.1201991997229526, 1.1541239065057407, 0.5322518159701006]","[0.0854451887437145, 0.17903444474868033, 0.05430594363266686, 0.03612537223494509, 0.1247897279110514, 0.12082090212753968, 0.0761149706281211]",14000,60000,"[1.4187974625109274, 0.8130915893987195, 0.7322720756842866, 1.0553352631383954, 1.1927615209874194, 1.0137448087542946, 1.2514670117916329]",5642,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5807989892144575, 0.7455654411387583, 1.1596769256781947, 0.6838915485931626, 0.9232952352493952, 0.6350274568664088, 0.6719487053686289]",275.18762829,0.119,334.71051383018494,{'runtime': 333},316.247983962,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696492153.434846,10000,14,41.060257248
57,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[1.3901235032819796, 1.487535828102868, 0.7232438952040027, 0.9189271735902658, 0.5541120204109518, 0.801089412526005, 0.6360229303074764, 1.2896191636418797]","[0.05012216184225315, 0.1359700554097363, 0.14621887885145451, 0.12301711046844346, 0.02313755929141816, 0.07162844341076065, 0.1519696336784507, 0.1572998227932339]",16000,60000,"[1.2370960359380825, 0.552230811258456, 1.324508059420495, 0.7327771993065403, 1.3160591771033807, 0.7041653820293112, 1.1351117162413933, 1.2801530444353917]",8725,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.0474063818133224, 1.4308952879964878, 0.7855044967687876, 1.350947761941344, 0.6423423863499921, 0.8039667173046319, 1.066557215677243, 0.7329707918688605]",304.182864973,0.1224,375.2007758617401,{'runtime': 373},349.801888566,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696491806.486059,10000,14,45.618980202
58,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9275331892293456, 0.807490601276462, 0.7200406680436688, 1.1143955789848263, 1.2824927339584593, 0.653835943860063, 1.0364726649871716, 1.20790695880546, 0.9199487132323506]","[0.0916206542718005, 0.03294811436709784, 0.03418402883266757, 0.021843449692004448, 0.12806102909622072, 0.17750463266252753, 0.024836760721481388, 0.08232813318414595, 0.0932060781499352]",18000,60000,"[1.1441123292418696, 1.3042183826930849, 0.8341629459947947, 1.3368964211890693, 1.4434078516408395, 0.861825768308729, 0.7573419201611747, 0.8309678501850378, 1.1749409494098555]",2874,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.1775229914236194, 1.1764553927685912, 0.6618765148929895, 0.5428202881931843, 0.8006374978097481, 1.0529951714607255, 1.0217651811952588, 0.999766296750669, 1.0467449015409618]",319.053757866,0.124,384.94087505340576,{'runtime': 383},366.618996971,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696491420.3220022,10000,14,47.565194683
59,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.3981981352532316, 0.703417218274217, 1.426611568040257, 0.9222006312119636, 1.285622078213767, 1.3340789171517389, 1.0631356015798554, 0.6804408268404017, 0.8099506483141805, 1.260601174946966]","[0.04369190170276323, 0.12202906594210536, 0.10032409836101776, 0.15560429830067446, 0.1687761019986575, 0.10908004435100443, 0.12301266255330871, 0.1700923890180947, 0.1426286524039314, 0.0987272784797289]",20000,60000,"[1.46423305265326, 1.0043741665457224, 0.7948275954533227, 0.589585141785688, 1.407082808106519, 1.2084331832912825, 1.4597780518908126, 0.7548730923917216, 1.0374984674245868, 1.370385280225373]",5850,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.7044316923358769, 0.665183066203026, 0.5577796740344558, 1.4379950624383289, 1.3809918201973934, 1.469383938138186, 0.9760071715604212, 1.1501530969104707, 1.435328859875766, 0.5795592517600593]",344.328435011,0.129,417.72637152671814,{'runtime': 416},396.283418346,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696491024.2899525,10000,14,51.954939092
60,1,1,1.0639245912397008,0.056418212865655064,2000,60000,1.3338011124557072,368,2000,0,1.2933213215948896,87.746019267,0.0349,98.41616773605348,{'runtime': 97},95.123771774,1,['<PyCall.jlwrap tanh>'],1696490595.0231948,10000,14,7.377714175
61,2,"[1, 1]","[0.5405561690467261, 0.8285101970336569]","[0.14913027204233226, 0.18443535133357664]",4000,60000,"[1.176365054116911, 1.274917406347539]",1514,"[2000, 2000]",0,"[1.419385384118637, 1.4364369867855724]",114.872966991,0.0435,132.31014275550842,{'runtime': 130},126.860947254,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696490485.9947598,10000,14,11.98790942
62,3,"[1, 1, 1]","[0.703853169417472, 0.868852163135083, 1.2245700477810455]","[0.1736040491109208, 0.16558749372455098, 0.08452841361286681]",6000,60000,"[1.1226621106583048, 1.215641865234265, 0.9007915377973124]",7714,"[2000, 2000, 2000]",0,"[1.495216934786892, 0.957947144680564, 0.533695356550944]",141.385740439,0.061,165.26487493515015,{'runtime': 164},158.140957413,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696490341.783665,10000,14,16.755171739
63,4,"[1, 1, 1, 1]","[0.6748394956282534, 0.5276294040633621, 0.8905704010579154, 0.6046081137247258]","[0.11306944513780164, 0.13275323897160998, 0.04578785470823595, 0.1041130075242141]",8000,60000,"[0.5000484683178043, 1.1693265247349145, 1.184265178653901, 0.9637273808568404]",1438,"[2000, 2000, 2000, 2000]",0,"[1.2232493789386334, 1.0808719010314454, 0.5766989674277437, 0.5016121437630431]",171.835209197,0.0726,202.17083406448364,{'runtime': 201},193.387002706,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696490165.696232,10000,14,21.551745891
64,5,"[1, 1, 1, 1, 1]","[1.2608407590269843, 1.184135490204465, 1.0904763053485445, 0.8454232168902877, 1.0052972838293095]","[0.013450152049124904, 0.04747848700694565, 0.013337419083069351, 0.1518237812960187, 0.03997445252332061]",10000,60000,"[0.6564425600866881, 1.2455417854516255, 1.2952833517515463, 1.388783433312125, 1.46938147036972]",9543,"[2000, 2000, 2000, 2000, 2000]",0,"[1.1364289928039626, 0.7667065779048976, 1.2822873204742034, 1.4726827505034643, 1.0065693277552947]",201.700867974,0.0972,241.55268836021423,{'runtime': 240},231.149684563,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696489952.8922453,10000,14,29.448774941
