,Error,_runtime,Test time,densities,R_scalings,_timestamp,Train length,Nodes per layer,Initial transient,Layers,_wandb,Total time,Total nodes,_step,alphas,sigmas,Resized,rhos,seed,sgmds,Train time,Test length
10,0.0354,29.866469144821167,4.857582194,[0.01854610192757429],[1.0139141236621496],1698266341.7998393,60000,[2000],2,1,{'runtime': 28},26.892179011,2000,1,[0.7],[1.109201678168407],14,[0.6349348678997345],3862,['tanh'],22.034548067,10000
11,0.0337,75.43888640403748,9.23208611,"[0.08930055550514568, 0.11702981869951884]","[1.137194538643075, 1.4018227359678552]",1698266247.3775425,60000,"[2000, 2000]",2,2,{'runtime': 74},71.347451632,4000,1,"[0.7, 0.7]","[1.3111587658097053, 1.2846202004937677]",14,"[1.322969813400665, 0.92366030852179]",3036,"['tanh', 'tanh']",62.115317322,10000
12,0.0308,123.22811079025269,12.7431757,"[0.04132903809151424, 0.19855795441737695, 0.1960722255332484]","[0.7516090684380619, 1.030037944338178, 0.5995141170860078]",1698266168.298246,60000,"[2000, 2000, 2000]",2,3,{'runtime': 122},118.204946644,6000,1,"[0.7, 0.7, 0.7]","[0.9899783699183315, 0.5183350488163028, 1.1426626527478645]",14,"[1.1920070945289511, 1.1776773856477143, 1.3389166619252562]",7913,"['tanh', 'tanh', 'tanh']",105.461729134,10000
13,0.0287,181.0463364124298,16.055571348,"[0.08289066672533978, 0.023243649493176692, 0.09556202643423124, 0.16487453383438072]","[0.6531565380942659, 0.7688788167386833, 1.0134722930257736, 0.815818974498077]",1698266041.1068797,60000,"[2000, 2000, 2000, 2000]",2,4,{'runtime': 179},174.977082566,8000,1,"[0.7, 0.7, 0.7, 0.7]","[0.8409076949882446, 0.9794670900798584, 0.821861232630878, 0.6150266399271218]",14,"[1.0137937514671749, 0.907489490227856, 1.4447601206301366, 0.8221827659444523]",3201,"['tanh', 'tanh', 'tanh', 'tanh']",158.921459138,10000
14,0.0289,247.69988346099856,19.886718067,"[0.19482474144552825, 0.12377817240235356, 0.09816024950859492, 0.04737666461146453, 0.10649582088603496]","[0.781022911465702, 0.9671119710763828, 1.0723469715099552, 1.1425311380779637, 0.7847122163591425]",1698265856.8669446,60000,"[2000, 2000, 2000, 2000, 2000]",2,5,{'runtime': 246},240.582997953,10000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[1.1039781717047372, 1.182364870258162, 1.3496136581496874, 1.4571067338067505, 1.4401526173907695]",14,"[1.4158492688835962, 0.8249442287673127, 1.334698461108358, 1.4486643724098536, 0.8982782026981182]",3381,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",220.696228676,10000
15,0.0312,331.81117486953735,24.687352351,"[0.1643666408820868, 0.04840615114389076, 0.02854902498656, 0.10184838962777076, 0.03704353760141092, 0.11406477843119334]","[1.1348476177866242, 0.7836366273174887, 1.4472312868072694, 0.8913986497099277, 0.8099026938358189, 0.8212099812542533]",1698265604.9603608,60000,"[2000, 2000, 2000, 2000, 2000, 2000]",2,6,{'runtime': 330},323.794030611,12000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.881741295790366, 1.3432927740542788, 1.1247015865838554, 1.0891413154717506, 1.3886672249557268, 1.4496322004301692]",14,"[0.6959187193056198, 1.0789028799165676, 0.7712132837195202, 0.9001290665329305, 0.7519311830777461, 0.713429355993551]",2516,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",299.10663147,10000
16,0.031,420.4543266296387,27.99953107,"[0.0643443360691082, 0.18045018084034903, 0.16907519357078454, 0.18015131419502609, 0.10515916275466114, 0.08177889032548606, 0.020100278974414944]","[1.292161804300306, 0.5993868526949135, 1.2317690471830076, 1.2013865371598356, 0.923860274354061, 1.4967424776688605, 1.2869266791415757]",1698265268.7715027,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,7,{'runtime': 419},411.174682435,14000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.8328677556099798, 0.9265585489805068, 0.9071967856227676, 1.2843811752543042, 0.595566593176292, 0.6292104220022119, 0.8752322305901411]",14,"[1.3340573643483151, 0.5029411590898096, 1.171632798086555, 1.3044047030760642, 0.8982369273266302, 1.2515206957557925, 0.850733889031282]",2492,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",383.175100675,10000
17,0.0322,519.3227350711823,32.244968089,"[0.17534326804313022, 0.08096536407214797, 0.15565635192162228, 0.17322289778799474, 0.02501396254366757, 0.03232803347836961, 0.18758537522464205, 0.05690907986559047]","[1.0334381009945344, 0.9544431759015156, 1.0594633094860666, 1.0003230534045624, 1.1272809792048726, 0.9443342425322282, 1.2961299488648783, 0.8741819510941345]",1698264844.568221,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,8,{'runtime': 518},509.166489564,16000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[1.4991091380137398, 0.5668990141433446, 0.8229487327674989, 1.1363685713499707, 1.0868545113346708, 1.2720579387512227, 0.6357200225186265, 1.4017680854478396]",14,"[0.7361450410639045, 1.2355292210770528, 0.8940116989687676, 0.8071820368975929, 0.7051980694364361, 0.6748768903121096, 1.03381060926709, 1.4158957431777024]",5762,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",476.921480825,10000
18,0.0296,624.3352289199829,35.690747333,"[0.08795446587997698, 0.10137544735696372, 0.1776513730928632, 0.06338232101512019, 0.0932763246126892, 0.1984243593164135, 0.15046660190307934, 0.14404670275077736, 0.0676906278924175]","[0.7348370501309271, 1.0476806501542004, 0.5441396521979989, 0.6700576070909212, 1.0693893597605766, 0.7254382986583453, 0.6652523699993058, 0.5621400206394611, 0.9115105878705256]",1698264321.367431,60000,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",2,9,{'runtime': 623},613.183135245,18000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.855544297737588, 1.3946227919821008, 0.6845266370793429, 1.020123230840468, 0.90944156531737, 1.2206384725880286, 0.525340595487092, 0.8103173641905994, 1.161099373184132]",14,"[1.2107348071690618, 0.8835275214359012, 0.8229342857948327, 1.0771200154416385, 1.330332614374023, 0.5733924483356971, 0.6907026621681406, 1.0426545745235083, 0.9343002478801506]",860,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",577.492334972,10000
19,0.0344,29.91714119911194,4.841774157,[0.09480089035774436],[1.3943408078037955],1698263692.98183,60000,[2000],2,1,{'runtime': 28},26.923363555,2000,1,[0.7],[1.347136201829779],14,[1.0192610654596428],5602,['tanh'],22.081537358,10000
20,0.0281,76.1063494682312,9.259059334,"[0.09928067230032718, 0.018878484906694405]","[0.7959648153038097, 0.7716233699341312]",1698263659.2278214,60000,"[2000, 2000]",2,2,{'runtime': 74},71.87798274,4000,1,"[0.7, 0.7]","[0.5660133746341275, 0.9081791375134586]",14,"[0.6666566817946894, 0.6463242622154236]",3921,"['tanh', 'tanh']",62.618873556,10000
21,0.0294,123.74718737602234,12.806103837,"[0.01138519710519631, 0.18185185492925152, 0.06256079811692446]","[0.969991381090661, 0.9605531467958512, 1.235513382927319]",1698263579.0053573,60000,"[2000, 2000, 2000]",2,3,{'runtime': 122},118.719642766,6000,1,"[0.7, 0.7, 0.7]","[0.8883687020266519, 0.6683558528845271, 0.8246397983041639]",14,"[1.0073050705065325, 1.3378813932492477, 0.6365642094156475]",1032,"['tanh', 'tanh', 'tanh']",105.913487309,10000
22,0.0301,181.19983434677124,16.233421613,"[0.12477000056933524, 0.1141672319517618, 0.17727306365245676, 0.15111086285330125]","[1.0058869462275166, 0.6344220859160695, 1.1781993410079352, 1.3256441449486729]",1698263451.5614614,60000,"[2000, 2000, 2000, 2000]",2,4,{'runtime': 180},175.104893251,8000,1,"[0.7, 0.7, 0.7, 0.7]","[0.7648329698485429, 0.6905689132261343, 1.3428093594502566, 1.451902571553099]",14,"[0.6255195848655106, 1.3327699444575654, 1.258414461330054, 0.6241035277066598]",2324,"['tanh', 'tanh', 'tanh', 'tanh']",158.871414678,10000
23,0.0291,248.09256434440613,20.023294281,"[0.1903894693146444, 0.1426813295458989, 0.05660059838666857, 0.09440123558828444, 0.17081737259177007]","[0.8644876604861338, 1.172102696782643, 1.0013740028580935, 1.0219196001038398, 0.7086241760256701]",1698263266.4789174,60000,"[2000, 2000, 2000, 2000, 2000]",2,5,{'runtime': 246},240.934910855,10000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[1.2786418381281657, 0.9553626072753472, 1.2567396882142412, 0.9944238561173376, 1.2858973839465828]",14,"[0.9607166104625148, 1.1138763369183038, 0.97005002386998, 1.4067076700792025, 0.7170137120263441]",8542,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",220.911566534,10000
