,rhos,seed,sgmds,Initial transient,Test time,Nodes per layer,Error,Layers,_wandb,Resized,_runtime,Train length,_step,alphas,densities,Total time,Test length,sigmas,R_scalings,Train time,_timestamp,Total nodes
10,[0.6987018686310349],4779,['tanh'],2,18.66285386,[2000],0.1319,1,{'runtime': 136},14,137.83765530586243,60000,1,[0.7],[0.0366480551095252],135.040442253,10000,[0.7602830437125457],[1.0353149901514214],116.377535623,1705502476.9912052,2000
11,"[1.4266706728297684, 0.7351038524529026, 1.341708975667839]",8746,"['tanh', 'tanh', 'tanh']",2,181.14410668,"[2000, 2000, 2000]",0.1285,3,{'runtime': 1326},14,1327.787101984024,60000,1,"[0.7, 0.7, 0.7]","[0.18780377500717343, 0.045739490244108144, 0.09123175247306382]",1322.994625209,10000,"[1.177049984349019, 0.6657276288837453, 1.1061569449134074]","[1.0752128651461548, 0.5469363794973616, 0.7504278801504694]",1141.850463609,1705502335.267487,6000
12,"[1.3869085046807452, 1.3547745788366825, 0.7328396835798608, 0.7804544815394908, 1.350581626624194]",672,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,320.592345762,"[2000, 2000, 2000, 2000, 2000]",0.1269,5,{'runtime': 2405},14,2406.643300294876,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.037267213220712234, 0.17970712355280002, 0.18695420679652663, 0.1812457291353185, 0.19693720186624095]",2399.749861914,10000,"[0.8673810834207787, 1.089385071761919, 1.175584017405079, 1.3711946207760473, 1.4950248897297018]","[0.598939918220492, 1.3394473118198893, 0.5679020268428683, 0.8569341713329149, 0.977581421010016]",2079.157462862,1705501003.8296893,10000
13,"[1.361621138709724, 1.2861894331535146, 0.9942841638612502, 0.872798807944423, 1.2078840025520878, 0.6963376029371016, 0.9651912117985884, 1.0599393935229142]",9157,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,526.801912191,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1288,8,{'runtime': 4123},14,4123.962014198303,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.18857243916435532, 0.04925270552212809, 0.027298220346305246, 0.02495131472317832, 0.14645013440374868, 0.08346776003437888, 0.04495918566863989, 0.19329155080122687]",4114.593385484,10000,"[0.5920851517431005, 1.1589427638477183, 0.9339155719384976, 1.367740249456873, 0.94363555149149, 0.6124108638621591, 1.1357921543955205, 1.3298126762431972]","[1.4722291319333611, 1.45433749418514, 1.386302469292255, 0.7287958105819221, 0.747769303864035, 0.5798766352159643, 0.7414114020144624, 1.3426384262508806]",3587.791421543,1705498593.7713351,16000
14,"[0.9467578573471196, 0.5976701237335974, 0.8188364073392825, 0.5181634433116711, 1.039205059327223, 1.1739117881543717, 1.2478941970436843, 0.7890569459832187, 0.5194602831644202, 1.267450104804626]",1425,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,670.664374971,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.137,10,{'runtime': 5395},14,5396.760526895523,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.03210806033972687, 0.03892744436357898, 0.047729982893414256, 0.11883731492623197, 0.06050184587277464, 0.09236723463303824, 0.01500154077337384, 0.04746037198335896, 0.0574178871086133, 0.08856976938328902]",5385.01350413,10000,"[1.1029132685776362, 1.4711117160831462, 0.9522119428209294, 0.6030491298184073, 1.2603032708689477, 1.2800883787967536, 0.9924303771284118, 1.2677153340272809, 0.7105700128010468, 0.5804654135548001]","[1.2948792592545983, 1.208821935412609, 0.5339948248663996, 1.485549040544953, 0.9465676738545764, 0.9578132895577864, 0.7197777210280181, 0.9664315175410364, 0.5228927810576602, 1.1944468575803326]",4714.349073169,1705494447.444548,20000
15,[1.1020429183715916],1910,['tanh'],2,18.274629334,[2000],0.1337,1,{'runtime': 137},14,138.48897123336792,60000,1,[0.7],[0.12954759698199764],135.355305263,10000,[1.0666654155393376],[1.113109211428716],117.080620729,1705489047.2732882,2000
16,"[1.3603698787347414, 0.8167289564434458, 1.0637354930788865]",9911,"['tanh', 'tanh', 'tanh']",2,179.720907341,"[2000, 2000, 2000]",0.1277,3,{'runtime': 1314},14,1315.9914531707764,60000,1,"[0.7, 0.7, 0.7]","[0.151009486384395, 0.08974514246523412, 0.08180360119220809]",1311.147389209,10000,"[1.077416760237627, 0.5928874773742618, 1.0843665320406108]","[1.0726937011246602, 1.414567971132366, 1.309581299107484]",1131.426429298,1705488905.1770492,6000
17,"[1.1678899593247325, 1.0659359707048324, 0.7184694886302072, 1.4105551344535503, 1.3590290066074209]",7129,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,319.023049562,"[2000, 2000, 2000, 2000, 2000]",0.1277,5,{'runtime': 2399},14,2400.5939087867737,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.17874761189961988, 0.05975032703454364, 0.06012293026651797, 0.12676970402222923, 0.03519364549345495]",2393.843825031,10000,"[0.9625010881190948, 0.9706636937870023, 1.317701438887932, 1.0278228037086197, 1.2083921775391897]","[0.8529598561175802, 1.354320223115273, 0.928404701049972, 1.3017296392742377, 0.8637896048410869]",2074.820722409,1705487585.7772667,10000
18,"[1.0952476800467994, 1.048033068566275, 1.1416861635564362, 0.5276410848731609, 0.5206022215950179, 0.7026109126785214, 0.6334582609304419, 1.008338842510605]",9270,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,526.572629864,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1309,8,{'runtime': 4124},14,4125.717818260193,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.147725215972102, 0.17591962106815673, 0.050832080708621386, 0.18713650952808217, 0.07337011839837464, 0.055386354899468165, 0.0301678231605367, 0.09191766557623564]",4115.885992157,10000,"[0.8759433453278251, 1.498415782525604, 0.6001177522861352, 1.0166238417541795, 1.0739372800223834, 0.5394588191793076, 0.6553559272241113, 1.3128558501444758]","[0.7452291637368967, 0.6398052888146936, 1.1392665349649749, 0.682383100770627, 0.5420842733492603, 0.6049406413961222, 0.5979280385278403, 0.5817703628845431]",3589.313310013,1705485181.4477572,16000
19,"[0.5707542598063089, 0.9648887101006782, 0.6055736188773316, 1.1272776134360785, 1.1455915639614305, 1.003177206199766, 1.3191838419222692, 0.979033573301662, 0.5862770043036464, 0.675118898352509]",184,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,658.101661957,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1346,10,{'runtime': 5318},14,5319.707259178162,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.0365594821207433, 0.18146402687544505, 0.18357358317855343, 0.11235908323965216, 0.13384715942119996, 0.09355734496979014, 0.15342412894535537, 0.0939859962278108, 0.150353105498973, 0.1816442243043371]",5307.916173895,10000,"[0.6823253780633717, 1.3283050439078576, 0.6235550891250244, 1.163615154457033, 0.7345181458187887, 0.5525245135898792, 1.364573962155201, 1.0398505306691677, 1.2613127448295598, 1.3490922808770764]","[1.0708113842067424, 1.3789029197025002, 1.0889657347698596, 0.8934773122514911, 0.942071182606164, 1.1943395734600162, 1.095697603359748, 0.8589932735544964, 1.3650560169540662, 0.6686768899021893]",4649.814456258,1705481050.1865573,20000
20,[0.7663551862262089],542,['tanh'],2,20.594634672,[2000],0.1317,1,{'runtime': 147},14,148.4174520969391,60000,1,[0.7],[0.08291705539239151],145.564135455,10000,[0.9078673604480624],[0.7576190618253743],124.969446013,1705475727.3448832,2000
21,"[1.321045803653855, 1.3921318752791905, 0.6184820882567393]",5115,"['tanh', 'tanh', 'tanh']",2,179.520625729,"[2000, 2000, 2000]",0.1267,3,{'runtime': 1312},14,1313.2890768051147,60000,1,"[0.7, 0.7, 0.7]","[0.0803207636023192, 0.042917445008128094, 0.1868813544274867]",1308.428449587,10000,"[0.5585813757809004, 0.9328703397031314, 1.364461910546928]","[0.981494106457509, 0.7472878000298344, 1.2503691541032813]",1128.907771838,1705475575.5288007,6000
22,"[0.8980671494447943, 1.4036326998926705, 0.5091141950429294, 1.214362577351658, 0.6843081587355894]",3689,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,317.336452753,"[2000, 2000, 2000, 2000, 2000]",0.1334,5,{'runtime': 2390},14,2391.3550577163696,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.1379822695747851, 0.15518052440886262, 0.13230000388698504, 0.013212180502288666, 0.06094841122205628]",2384.625022399,10000,"[1.108353070990219, 1.2442358662160156, 0.8702316896474391, 0.9025684365508292, 1.2715666294322412]","[0.8368977840061306, 0.825441746126146, 1.4214249025772947, 1.2318483959662625, 1.4281958667555144]",2067.288517516,1705474258.0502486,10000
23,"[0.6000259942246947, 1.064338073516748, 0.9522288644176248, 0.977236189466308, 1.0423061288434017, 1.224343608610145, 1.1793220908182511, 1.1919361387669525]",7593,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,526.943054604,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1335,8,{'runtime': 4132},14,4133.482576847076,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.16570278223645815, 0.051988365281838915, 0.02861828301071251, 0.12659564475687973, 0.1377291001272698, 0.10250732148818718, 0.03731120517386968, 0.03382838199773679]",4123.757326416,10000,"[0.9488554830705678, 1.0113599353148215, 0.9619687915792612, 0.938240955838199, 0.6092585440361884, 1.1254941293227838, 0.7695463148823886, 0.9064700591988708]","[1.1289242868666534, 0.9548606598592756, 0.8493439568060295, 1.497569456618285, 0.7322202594476767, 0.742675756118123, 0.6641204430305251, 1.2711725195736374]",3596.814218002,1705471863.5243895,16000
